epoch,train_loss,val_loss,accuracy,precision,recall,f1_score
1,0.6982,0.6965,0.5467,0.5537,0.5474,0.5334
2,0.6871,0.6699,0.5622,0.5633,0.5625,0.5609
3,0.6819,0.7145,0.5556,0.5834,0.5568,0.5177
4,0.6785,0.6947,0.5578,0.5748,0.5588,0.5333
5,0.6763,0.6708,0.5844,0.5922,0.5838,0.5744
6,0.6662,0.6586,0.6089,0.6108,0.6092,0.6076
7,0.6617,0.646,0.5956,0.5965,0.5953,0.5942
8,0.6624,0.6644,0.5867,0.5928,0.5872,0.5806
9,0.6536,0.6603,0.6044,0.6111,0.605,0.5991
10,0.6488,0.6438,0.62,0.62,0.62,0.62
11,0.6353,0.8706,0.5244,0.5714,0.5262,0.4362
12,0.6394,0.6487,0.5844,0.5857,0.5847,0.5834
13,0.6339,0.6315,0.6467,0.6892,0.6456,0.6246
14,0.6263,0.6483,0.6156,0.6171,0.6158,0.6145
15,0.6202,0.6113,0.6756,0.676,0.6754,0.6752
16,0.6223,0.6318,0.6289,0.6345,0.6293,0.6255
17,0.6106,0.6172,0.6689,0.6786,0.6684,0.6639
18,0.6076,0.8259,0.5289,0.6581,0.5269,0.404
19,0.6065,0.9278,0.5333,0.5995,0.5351,0.4444
20,0.5985,0.6559,0.6,0.6252,0.601,0.5801
21,0.5911,0.5906,0.6733,0.678,0.673,0.6709
22,0.5822,0.6804,0.5867,0.6147,0.5877,0.5614
23,0.5866,0.5924,0.6733,0.6754,0.6731,0.6722
24,0.5786,0.669,0.6333,0.7234,0.6319,0.5909
25,0.579,0.5712,0.6911,0.6918,0.6912,0.6909
26,0.5632,0.755,0.56,0.6144,0.5615,0.5033
27,0.5641,0.6181,0.6889,0.7677,0.6877,0.6633
28,0.5631,0.7874,0.5622,0.6147,0.5637,0.5083
29,0.5582,0.6373,0.6533,0.6758,0.6541,0.6426
30,0.5605,0.6964,0.5733,0.6279,0.5748,0.5247
31,0.5514,0.7078,0.5756,0.6602,0.5772,0.5132
32,0.5455,0.5621,0.6822,0.688,0.6826,0.6801
33,0.5546,0.5607,0.6867,0.6903,0.687,0.6854
34,0.5346,0.5442,0.7333,0.7476,0.7328,0.7291
35,0.5304,0.5383,0.7067,0.7083,0.7065,0.706
36,0.5296,0.6271,0.6178,0.6674,0.619,0.5885
37,0.5306,0.5716,0.7133,0.7174,0.713,0.7118
38,0.5194,0.5297,0.7267,0.7291,0.7269,0.7261
39,0.5261,0.6319,0.6911,0.7941,0.6898,0.6606
40,0.5087,0.5255,0.7556,0.7602,0.7558,0.7546
41,0.5172,0.6404,0.6311,0.7143,0.6325,0.5928
42,0.5077,0.6076,0.6911,0.7587,0.69,0.6687
43,0.5129,0.5623,0.6778,0.7044,0.6786,0.6675
44,0.4997,0.6433,0.6422,0.6883,0.6433,0.6199
45,0.4971,0.534,0.72,0.7264,0.7196,0.7178
46,0.506,0.5407,0.7378,0.756,0.7372,0.7327
47,0.5044,0.8252,0.5622,0.6199,0.5637,0.505
48,0.491,1.1512,0.5067,0.5726,0.5088,0.3693
49,0.4877,0.5016,0.7533,0.7565,0.7536,0.7527
50,0.4861,0.5726,0.6933,0.7265,0.6942,0.6823
51,0.4832,0.4901,0.76,0.763,0.7598,0.7592
52,0.4719,0.6619,0.6133,0.6734,0.6146,0.5781
53,0.4818,0.4823,0.7644,0.7722,0.7641,0.7626
54,0.4666,0.5583,0.7022,0.735,0.703,0.692
55,0.4789,0.8037,0.5689,0.6671,0.5706,0.4971
56,0.4745,0.4563,0.7689,0.7689,0.7689,0.7689
57,0.4656,0.6332,0.6089,0.6887,0.6103,0.5643
58,0.4572,0.4771,0.7578,0.7742,0.7572,0.7538
59,0.4632,0.5009,0.7533,0.7596,0.7537,0.752
60,0.458,0.5146,0.7267,0.7337,0.727,0.7248
61,0.4383,1.0697,0.5556,0.7461,0.5536,0.4462
62,0.4463,0.4723,0.7622,0.765,0.7624,0.7617
63,0.4415,0.4399,0.7956,0.7971,0.7954,0.7952
64,0.435,0.7695,0.5822,0.6633,0.5838,0.5252
65,0.442,0.5256,0.7733,0.8109,0.7726,0.7659
66,0.4387,0.5017,0.74,0.759,0.7406,0.7355
67,0.4337,0.5257,0.76,0.7936,0.7592,0.7526
68,0.4249,0.6527,0.6889,0.7641,0.6877,0.6642
69,0.4395,0.4345,0.7956,0.8025,0.7952,0.7942
70,0.4335,0.45,0.7889,0.7892,0.7888,0.7888
71,0.4323,0.6576,0.7133,0.7855,0.7122,0.6933
72,0.4214,0.9431,0.5956,0.7296,0.5938,0.5245
73,0.4164,0.5424,0.7356,0.7707,0.7348,0.7262
74,0.4244,0.4415,0.7978,0.798,0.7978,0.7978
75,0.4069,0.6889,0.6178,0.708,0.6192,0.5728
76,0.4022,0.8564,0.5933,0.7084,0.595,0.5302
77,0.4063,0.9349,0.6044,0.6915,0.6029,0.552
78,0.4118,0.4299,0.7933,0.7964,0.7936,0.7929
79,0.4063,0.9409,0.6,0.7404,0.5983,0.5297
80,0.3925,1.2481,0.5289,0.7223,0.5268,0.3945
81,0.4042,0.6023,0.7244,0.806,0.7233,0.7041
82,0.385,0.514,0.7311,0.7583,0.7318,0.7242
83,0.3823,0.5625,0.7489,0.8004,0.748,0.7372
84,0.395,0.8298,0.5844,0.6697,0.586,0.5269
85,0.3888,0.51,0.7622,0.7844,0.7628,0.7578
86,0.3893,0.4479,0.7822,0.8127,0.7815,0.7765
87,0.3819,0.6264,0.6822,0.7598,0.6834,0.6575
88,0.3864,0.4198,0.8089,0.8091,0.8089,0.8089
89,0.3759,0.56,0.7333,0.7691,0.7325,0.7237
90,0.3785,1.3352,0.5311,0.6861,0.5331,0.4113
91,0.3766,0.6637,0.7022,0.7791,0.7011,0.6794
92,0.3762,0.4712,0.76,0.7895,0.7607,0.754
93,0.3708,1.0265,0.5844,0.7296,0.5827,0.5042
94,0.3635,0.7635,0.6111,0.6687,0.6124,0.5763
95,0.3611,0.4567,0.7778,0.7898,0.7782,0.7756
96,0.3654,0.4387,0.7822,0.801,0.7817,0.7785
97,0.3728,0.4204,0.8178,0.8423,0.8172,0.8143
98,0.346,0.509,0.7622,0.7896,0.7615,0.7562
99,0.3481,0.4998,0.7778,0.8059,0.7771,0.7723
100,0.3454,0.4249,0.7822,0.7866,0.7825,0.7815
101,0.3565,0.7278,0.6844,0.7861,0.6831,0.6527
102,0.3479,0.4604,0.7778,0.7989,0.7784,0.774
103,0.3479,1.6097,0.5289,0.6445,0.5269,0.407
104,0.348,0.4727,0.7756,0.7871,0.7751,0.7731
105,0.356,0.8301,0.6578,0.7727,0.6563,0.6163
